total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
42.0,8.0,10.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,7.0,195.0,463.0,3.0,M,N,1.633777685335689
24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,M,N,4.803521836262955
15.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,71.0,2.0,M,N,3.319945865207148
1.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,0.0,M,N,4.454262107828206
26.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,30.0,330.0,0.0,F,N,2.9809212391419915
22.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,81.0,140.0,2.0,M,N,1.4694374682015754
27.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,462.0,4921.0,2.0,M,N,0.4130092675938002
8.0,104.0,13.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,2.0,813.0,583.0,0.0,F,N,0.6945652632702809
12.0,91.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,50.0,323.0,3.0,M,N,0.8729569042705665
15.0,78.0,15.0,0.0,0.0,2.0,0.0,0.0,13.0,3.0,4.0,2.0,18.0,36.0,0.0,M,N,4.504618453514779
18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,206.0,1.0,F,N,3.137017388596105
12.0,140.0,11.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,490.0,1425.0,1.0,M,N,0.8084423015286718
6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,M,N,4.9345217943659705
25.0,143.0,15.0,0.0,0.0,0.0,4.0,0.0,6.0,5.0,1.0,4.0,3138.0,3628.0,1.0,F,N,1.2340496372599496
28.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,52.0,79.0,0.0,M,N,1.5269998730645389
13.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,386.0,117.0,3.0,U,Y,2.581218047658985
10.0,33.0,7.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,1.0,260.0,472.0,1.0,F,N,1.045134705930291
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,46.0,0.0,F,N,4.508014705882353
7.0,14.0,11.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,29.0,14.0,2.0,M,N,3.6424578547993103
32.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,203.0,984.0,2.0,M,N,0.730068133036525
9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,M,N,4.974217425684311
14.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,3.0,U,Y,4.919001041470217
12.0,36.0,11.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,14.0,72.0,0.0,M,N,4.104171212517738
14.0,115.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,100.0,409.0,2.0,M,N,0.2363334671308004
14.0,115.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,100.0,409.0,2.0,M,N,0.2363334671308004
7.0,108.0,15.0,0.0,0.0,2.0,0.0,0.0,19.0,9.0,0.0,1.0,407.0,421.0,1.0,F,N,0.079549152315001
