total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
42.0,8.0,10.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,7.0,195.0,463.0,3.0,M,N
24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,M,N
15.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,71.0,2.0,M,N
1.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,0.0,M,N
26.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,30.0,330.0,0.0,F,N
22.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,81.0,140.0,2.0,M,N
27.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,462.0,4921.0,2.0,M,N
8.0,104.0,13.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,2.0,813.0,583.0,0.0,F,N
12.0,91.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,50.0,323.0,3.0,M,N
15.0,78.0,15.0,0.0,0.0,2.0,0.0,0.0,13.0,3.0,4.0,2.0,18.0,36.0,0.0,M,N
18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,206.0,1.0,F,N
12.0,140.0,11.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,490.0,1425.0,1.0,M,N
6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,M,N
25.0,143.0,15.0,0.0,0.0,0.0,4.0,0.0,6.0,5.0,1.0,4.0,3138.0,3628.0,1.0,F,N
28.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,52.0,79.0,0.0,M,N
13.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,386.0,117.0,3.0,U,Y
10.0,33.0,7.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,1.0,260.0,472.0,1.0,F,N
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,46.0,0.0,F,N
7.0,14.0,11.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,29.0,14.0,2.0,M,N
32.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,203.0,984.0,2.0,M,N
9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,M,N
14.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,3.0,U,Y
12.0,36.0,11.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,14.0,72.0,0.0,M,N
14.0,115.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,100.0,409.0,2.0,M,N
14.0,115.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,100.0,409.0,2.0,M,N
7.0,108.0,15.0,0.0,0.0,2.0,0.0,0.0,19.0,9.0,0.0,1.0,407.0,421.0,1.0,F,N
11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,217.0,3186.0,1.0,F,N
27.0,41.0,10.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,4.0,517.0,868.0,2.0,F,N
15.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,9.0,129.0,3.0,M,N
10.0,22.0,11.0,0.0,0.0,4.0,0.0,0.0,6.0,5.0,0.0,2.0,236.0,2514.0,2.0,F,N
9.0,4.0,13.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,1.0,98.0,122.0,3.0,M,N
5.0,52.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,789.0,65.0,3.0,F,N
3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,32.0,77.0,0.0,M,N
16.0,46.0,9.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,6.0,543.0,149.0,0.0,M,N
